state,district,market,commodityGroup,commodity,variety,grade,arrivalDate,minPrice,maxPrice,modalPrice,arrivalQuantity,unit
Gujarat,Anand,Anand,Cereals,Bajra,Hybrid,FAQ,2026-08-01,1835,1981,1902,192,Rs./Quintal
Gujarat,Anand,Borsad,Cereals,Bajra,Hybrid,FAQ,2026-08-01,1854,1954,1885,145,Rs./Quintal
Gujarat,Anand,Borsad,Cereals,Maize,Yellow,FAQ,2026-08-01,1764,1927,1826,624,Rs./Quintal
Gujarat,Anand,Borsad,Cereals,Jowar,White,FAQ,2026-08-01,2583,2789,2700,479,Rs./Quintal
Gujarat,Ahmedabad,Ahmedabad,Cereals,Wheat,Dara,FAQ,2026-08-01,2175,2335,2235,827,Rs./Quintal
Gujarat,Ahmedabad,Ahmedabad,Cereals,Jowar,White,FAQ,2026-08-01,2519,2727,2624,154,Rs./Quintal
Gujarat,Ahmedabad,Dholka,Cereals,Wheat,Dara,FAQ,2026-08-01,2112,2345,2230,668,Rs./Quintal
Gujarat,Ahmedabad,Dholka,Cereals,Bajra,Hybrid,FAQ,2026-08-01,1805,2043,1933,599,Rs./Quintal
Gujarat,Ahmedabad,Dholka,Cereals,Maize,Yellow,FAQ,2026-08-01,1748,1860,1819,350,Rs./Quintal
Gujarat,Rajkot,Rajkot,Cereals,Maize,Yellow,FAQ,2026-08-01,1790,1858,1806,727,Rs./Quintal
Gujarat,Rajkot,Rajkot,Cereals,Jowar,White,FAQ,2026-08-01,2537,2710,2617,153,Rs./Quintal
Gujarat,Rajkot,Gondal,Cereals,Wheat,Dara,FAQ,2026-08-01,2158,2381,2272,216,Rs./Quintal
Gujarat,Rajkot,Gondal,Cereals,Bajra,Hybrid,FAQ,2026-08-01,1826,2035,1927,768,Rs./Quintal
Gujarat,Surat,Surat,Cereals,Bajra,Hybrid,FAQ,2026-08-01,1893,1981,1927,523,Rs./Quintal
Gujarat,Surat,Surat,Cereals,Maize,Yellow,FAQ,2026-08-01,1781,1938,1874,274,Rs./Quintal
Gujarat,Vadodara,Vadodara,Cereals,Maize,Yellow,FAQ,2026-08-01,1704,1890,1802,324,Rs./Quintal
Gujarat,Vadodara,Vadodara,Cereals,Jowar,White,FAQ,2026-08-01,2572,2791,2681,267,Rs./Quintal
Gujarat,Anand,Anand,Cereals,Bajra,Hybrid,FAQ,2026-08-02,1882,2008,1934,321,Rs./Quintal
Gujarat,Anand,Anand,Cereals,Maize,Yellow,FAQ,2026-08-02,1795,1921,1872,319,Rs./Quintal
