State/UT,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Price Date
Gujarat,Amreli,Savarkundla APMC,Cereals,Wheat,Bansi,FAQ,"1,710.00","2,125.00","1,918.00",Rs./Quintal,2021-09-08
Gujarat,Amreli,Savarkundla APMC,Cereals,Wheat,Lokwan,FAQ,"1,625.00","2,005.00","1,815.00",Rs./Quintal,2021-09-08
Gujarat,Amreli,The Agricultural Produce Market Committee-Amreli,Cereals,Wheat,Lokwan,FAQ,"2,020.00","2,050.00","2,025.00",Rs./Quintal,2021-09-08
Gujarat,Amreli,The Agricultural Produce Market Committee-Amreli,Cereals,Wheat,Rajasthan Tukdi,FAQ,"1,900.00","2,145.00","2,055.00",Rs./Quintal,2021-09-08
Gujarat,Banaskanth,Amirgadh APMC,Cereals,Wheat,147 Average,FAQ,"1,925.00","1,925.00","1,925.00",Rs./Quintal,2021-09-08
Gujarat,Banaskanth,Deesa APMC,Cereals,Wheat,Other,FAQ,"1,875.00","2,105.00","1,900.00",Rs./Quintal,2021-09-08
Gujarat,Banaskanth,Deesa(Bhildi) APMC,Cereals,Wheat,Other,FAQ,"1,850.00","1,850.00","1,850.00",Rs./Quintal,2021-09-08
Gujarat,Banaskanth,Dhanera APMC,Cereals,Wheat,Other,FAQ,"1,800.00","1,905.00","1,850.00",Rs./Quintal,2021-09-08
Gujarat,Banaskanth,Palanpur APMC,Cereals,Wheat,Other,FAQ,"1,950.00","2,105.00","2,027.00",Rs./Quintal,2021-09-08
Gujarat,Banaskanth,Thara APMC,Cereals,Wheat,Other,FAQ,"1,935.00","2,125.00","2,030.00",Rs./Quintal,2021-09-08
Gujarat,Banaskanth,Thara(Shihori) APMC,Cereals,Wheat,Other,FAQ,"1,800.00","1,900.00","1,850.00",Rs./Quintal,2021-09-08
Gujarat,Bharuch,Jambusar APMC,Cereals,Wheat,Other,FAQ,"1,900.00","2,100.00","2,000.00",Rs./Quintal,2021-09-08
Gujarat,Bhavnagar,Bhavnagar APMC,Cereals,Wheat,Local,FAQ,"1,800.00","2,095.00","1,875.00",Rs./Quintal,2021-09-08
Gujarat,Botad,Botad APMC,Cereals,Wheat,Other,FAQ,"1,895.00","2,175.00","2,035.00",Rs./Quintal,2021-09-08
Gujarat,Dahod,Dahod APMC,Cereals,Wheat,147 Average,FAQ,"2,050.00","2,165.00","2,120.00",Rs./Quintal,2021-09-08
Gujarat,Dahod,Dahod APMC,Cereals,Wheat,Lokwan,FAQ,"2,050.00","2,165.00","2,120.00",Rs./Quintal,2021-09-08
Gujarat,Devbhumi Dwarka,Bhanvad APMC,Cereals,Wheat,Lokwan,FAQ,"1,350.00","1,500.00","1,450.00",Rs./Quintal,2021-09-08
Gujarat,Gandhinagar,Dehgam APMC,Cereals,Wheat,Other,FAQ,"1,985.00","2,075.00","2,030.00",Rs./Quintal,2021-09-08
Gujarat,Gandhinagar,Dehgam(Rekhiyal) APMC,Cereals,Wheat,Other,FAQ,"1,800.00","1,900.00","1,850.00",Rs./Quintal,2021-09-08
Gujarat,Gandhinagar,Kalol APMC,Cereals,Wheat,Other,FAQ,"1,975.00","2,100.00","2,000.00",Rs./Quintal,2021-09-08
Gujarat,Jamnagar,Dhrol APMC,Cereals,Wheat,Other,FAQ,"2,000.00","2,115.00","2,060.00",Rs./Quintal,2021-09-08
Gujarat,Jamnagar,Jamnagar APMC,Cereals,Wheat,Other,FAQ,"1,955.00","2,120.00","2,038.00",Rs./Quintal,2021-09-08
Gujarat,Junagarh,Mangrol APMC,Cereals,Wheat,Lok-1,FAQ,"2,050.00","2,125.00","2,100.00",Rs./Quintal,2021-09-08
Gujarat,Junagarh,Mangrol APMC,Cereals,Wheat,Milbar,FAQ,"1,975.00","2,000.00","1,990.00",Rs./Quintal,2021-09-08
Gujarat,Kheda,Kapadvanj APMC,Cereals,Wheat,Other,FAQ,"1,850.00","1,975.00","1,912.00",Rs./Quintal,2021-09-08
Gujarat,Mehsana,Becharaji APMC,Cereals,Wheat,Other,FAQ,"1,850.00","1,975.00","1,912.00",Rs./Quintal,2021-09-08
Gujarat,Mehsana,Mehsana(Jornang) APMC,Cereals,Wheat,Other,FAQ,"1,800.00","2,075.00","1,900.00",Rs./Quintal,2021-09-08
Gujarat,Mehsana,Visnagar APMC,Cereals,Wheat,Other,FAQ,"1,910.00","2,210.00","2,060.00",Rs./Quintal,2021-09-08
Gujarat,Morbi,APMC HALVAD,Cereals,Wheat,Other,FAQ,"1,750.00","2,200.00","2,050.00",Rs./Quintal,2021-09-08
Gujarat,Morbi,Vankaner APMC,Cereals,Wheat,Other,FAQ,"1,925.00","2,095.00","1,990.00",Rs./Quintal,2021-09-08
Gujarat,Panchmahals,Godhra APMC,Cereals,Wheat,Medium,FAQ,"1,820.00","1,930.00","1,870.00",Rs./Quintal,2021-09-08
Gujarat,Panchmahals,Godhra(Timbaroad) APMC,Cereals,Wheat,Medium,FAQ,"1,850.00","1,945.00","1,870.00",Rs./Quintal,2021-09-08
